delta,alpha_0.0deg,alpha_1.0deg,alpha_2.0deg,alpha_3.0deg,alpha_4.0deg,alpha_5.0deg,alpha_6.0deg,alpha_7.0deg,alpha_8.0deg,alpha_9.0deg,alpha_10.0deg,alpha_11.0deg,alpha_12.0deg
-0.1,-0.9705580749073375,-0.8722595797121042,-0.7799518149234054,-0.6907736700602867,-0.5902337946117103,-0.4962061614979596,-0.4702977851719713,-0.27248275347115364,-0.08678473938725395,0.05973338584612786,0.1859032154660918,0.3030814724603098,0.41538447822002855
-0.09000000000000001,-0.879376596565257,-0.7809728837948757,-0.6876279787892926,-0.5928249604640312,-0.4813013149451598,-0.4510325559557318,-0.31959267428493293,-0.11296344923637619,0.04764298598679051,0.17865793489384707,0.29644813152690475,0.4080559297885912,0.5179389663427633
-0.08,-0.7802588044368671,-0.6804768553679018,-0.5838135431796194,-0.47847757617397474,-0.387572051295342,-0.34195116783224005,-0.1376622595416464,0.03719256309452912,0.17671813277476467,0.2973469504014879,0.41013349564608137,0.5190763905224269,0.6309700245522527
-0.07,-0.6685484125269674,-0.566204912441031,-0.46239715876444687,-0.3489271825820895,-0.30556768643096616,-0.15113928208868166,0.03145871635013853,0.1826916390954978,0.3107421357672171,0.42673362417094607,0.5384554752397746,0.6483008456897135,0.7628494608995651
-0.060000000000000005,-0.538316995266264,-0.43302070700459405,-0.32147565932588906,-0.22889531469518654,-0.14127286172059517,0.037204335060641525,0.19870815071618741,0.3380413982049279,0.46024959626937784,0.5753185265794079,0.6885477738358098,0.8005703258815728,0.916320553881554
-0.05,-0.3897557180254927,-0.28009541693760476,-0.16667464301842572,-0.09469271359334219,0.060285583730142756,0.2266603826802911,0.37885917899373833,0.5111301908830629,0.6312120743302354,0.7480128808288855,0.8634333246515655,0.9756106530329123,1.089301471584041
-0.04000000000000001,-0.22682694317854013,-0.1141347214593535,-0.01580636888220671,0.09967544741881151,0.26566813077896134,0.4285861628123808,0.5721894419190503,0.6978140749435127,0.8150385847113308,0.9287511318428374,1.0326490354957643,1.1265502303483637,1.209611895332689
-0.03,-0.053766956725173454,0.05713716307324579,0.1505163255897612,0.31785296329939683,0.48654637707314985,0.6312959137821372,0.7501079627623508,0.8559732523823415,0.9568695182574423,1.0496010780745753,1.1265107626346833,1.1960967574376964,1.2540525771308413
-0.020000000000000004,0.12408560609711028,0.22523798129115147,0.37188736267947453,0.5335701195190421,0.6601112058198882,0.764463138043834,0.8614062198925132,0.9566881540337797,1.0489796454857883,1.128289235044386,1.19822735954087,1.2647434161450932,1.320149709466072
-0.010000000000000009,0.302555113003288,0.40855753617470514,0.5608923329043993,0.6727578014073603,0.7743584851201759,0.8727727323818733,0.9715447834958324,1.0715972358681944,1.162950245207886,1.2390352698367306,1.3067699574550633,1.3667419516791974,1.4163714914313417
0.0,0.47990575760119647,0.5944680975045276,0.7048424546905104,0.8097055008020555,0.91501012864764,1.0194616834384136,1.1236262867748648,1.2199161892378811,1.29569913653486,1.3563169893291906,1.4131047979716018,1.4641084192294216,1.5061241510394303
0.009999999999999995,0.6573077433997494,0.7584606386825786,0.8635473320180616,0.9698655060992499,1.074766852485382,1.1762591562203368,1.2716038340527003,1.347062264295744,1.4040781013826051,1.4568711104409102,1.508412449785426,1.5523091297034632,1.5860651391330434
0.01999999999999999,0.8303839768966659,0.9224186062264734,1.01803070081057,1.1180535949546668,1.215890410811205,1.3101340767341423,1.3888455875037626,1.4461482129159318,1.4950786461239371,1.5457964449599695,1.5910398648539041,1.6270975700891577,1.6529640485994639
0.03,0.9899981546575463,1.0735324645207545,1.1565250381142005,1.2435024750612518,1.3351769981075141,1.4197964352632408,1.4813629927311616,1.5294803385349058,1.5778029470152317,1.6243416259869707,1.6626402333890438,1.691527121633008,1.7105532868645215
0.04000000000000001,1.1284834245846618,1.1982559269545754,1.2745226814064263,1.356642770211225,1.4386794130259866,1.5052651100297787,1.555594976284197,1.6014899080458094,1.6489902208584029,1.690003794392898,1.722186239428543,1.7454370133741897,1.7590789630608652
0.04999999999999999,1.2394501393034316,1.297406602735769,1.370840490921888,1.4541718557781202,1.5262629319013084,1.5750207998253893,1.6187146502208638,1.6658324044788668,1.7104902240719602,1.7464574302212168,1.7737521318736784,1.7922864346875136,1.801060563374778
0.06,1.327686022139065,1.3797719598347817,1.4543642448427871,1.5347213928816414,1.591613294795903,1.6363347429828246,1.6790216286488275,1.7226461365933934,1.7620057037198709,1.79396434422374,1.8177207496111034,1.8323919231332608,1.8367659454834824
0.07,1.4010741595895853,1.4529406997369112,1.5296157633775467,1.5978346034560862,1.6438308663926116,1.6879934392416314,1.7317222384318716,1.7733497064167716,1.8077252438174258,1.8351996491811222,1.8557445586233632,1.8672621081442033,1.8680556976908878
0.07999999999999999,1.4640458738736832,1.521439977848537,1.5969173282964084,1.6481103483698392,1.6902329805822296,1.7338507695194127,1.7775450893138265,1.8169999438015956,1.848909615818031,1.8734545609738684,1.8899854668691094,1.8972253933379952,1.894191420840726
0.09,1.523716200768602,1.5888200220138795,1.653360618325954,1.6914031239526652,1.732011084662799,1.7737959371671388,1.816155420417596,1.853723016044008,1.8845966985328524,1.9077947228247127,1.9218746738937067,1.9258404522925943,1.9194808876565952
0.1,1.583179355020729,1.652500862298702,1.6989911148799697,1.7318498106035436,1.7711822379453792,1.811301073857401,1.85124275525783,1.8864822692419883,1.9155351578900652,1.9369401231863141,1.9489587002887092,1.9503386014094772,1.941478507318986
